Activity Name	Description	VirtualFriendly	IndoorFriendly	OutdoorFriendly	Expense	StartTime	EndTime	MinDuration	MaxDuration	MinPeople	MaxPeople
Art Jamming Session	Let your creativity flow and express yourself through art in a relaxed and fun session.	TRUE	TRUE	TRUE	2	10:00 AM	1:00 PM	90	180	2	6
Art Workshop	Unleash your creativity and learn various art techniques in a guided workshop.	TRUE	TRUE	FALSE	3	2:00 PM	8:00 PM	90	180	2	6
Beach Day	Soak up the sun, swim in the ocean, and enjoy a relaxing day at the beach.	FALSE	FALSE	TRUE	2	10:00 AM	10:00 PM	210	420	2	8
Board Game Night	Gather around and engage in friendly competition with a variety of board games.	TRUE	TRUE	FALSE	1	6:00 PM	11:00 PM	120	240	2	8
Book Club	Start a book club and engage in insightful discussions about literature.	TRUE	TRUE	FALSE	1	Any	Any	60	120	2	8
Bowling Night	Have a blast and test your bowling skills in a friendly competition with friends.	FALSE	TRUE	FALSE	2	6:00 PM	10:00 PM	90	150	2	6
Brunch	Indulge in a delightful brunch experience with a variety of delicious dishes and refreshing drinks.	FALSE	TRUE	FALSE	3	10:00 AM	2:00 PM	60	120	2	8
Comedy Show	Laugh your hearts out and enjoy a hilarious comedy show with your friends.	TRUE	TRUE	FALSE	3	7:00 PM	9:00 PM	60	120	2	8
Cooking Class	Learn to cook delicious dishes under the guidance of professional chefs.	TRUE	TRUE	FALSE	3	4:00 PM	7:00 PM	90	180	2	6
Dance Party	Groove to your favorite tunes and have a dance party together out on the town.	TRUE	TRUE	FALSE	1	8:00 PM	12:00 AM	60	120	2	8
Dinner	Treat yourself to a delicious dinner at a local restaurant	FALSE	TRUE	FALSE	3	6:00 PM	10:00 PM	60	180	2	8
DIY Craft Workshop	Get crafty and create personalized crafts in a hands-on DIY workshop.	TRUE	TRUE	FALSE	2	2:00 PM	5:00 PM	90	180	2	6
Escape Room Challenge	Work together to solve puzzles and escape from a thrilling escape room scenario.	FALSE	TRUE	FALSE	3	Any	Any	60	120	2	8
Food Tasting Tour	Embark on a culinary journey and sample delicious foods from various local eateries.	FALSE	TRUE	TRUE	3	11:00 AM	3:00 PM	120	180	4	8
Game Night	Play a variety of classic and modern games for a fun-filled evening with friends.	TRUE	TRUE	FALSE	2	6:00 PM	11:00 PM	120	240	2	8
Hiking Adventure	Explore scenic trails, breathe fresh air, and enjoy the beauty of nature.	FALSE	FALSE	TRUE	1	9:00 AM	4:00 PM	120	240	2	6
Indoor Ice Skating	Glide on the ice and have a fun-filled time ice skating with your friends.	FALSE	TRUE	FALSE	3	2:00 PM	6:00 PM	90	150	2	6
Indoor Rock Climbing	Challenge yourselves and experience the thrill of indoor rock climbing.	FALSE	TRUE	FALSE	4	10:00 AM	6:00 PM	60	120	2	6
